scenario,snr_db,samples,noisy_nmse_db,model_nmse_db,nmse_gain_db,noisy_mae,model_mae,noisy_correlation,model_correlation
asu_campus_3p5,-10,3000,9.999998250766492,-14.058939757262783,24.058938008029273,0.01548159422257666,0.0009374298829535969,0.30153074948278713,0.9801891856668625
city_16_sanfrancisco_28,-10,3000,9.999551782622346,-17.92738169825746,27.926933480879804,0.01548085341969141,0.0005884552496370287,0.3015598682773777,0.9919140756537921
city_4_phoenix_28,-10,2024,9.999536148631321,-13.770954685530592,23.77049083416191,0.015481229594289162,0.000971745873820009,0.30158523122454095,0.9788791153700765
i1_2p4,-10,3000,10.000104534696817,-18.38532793023098,28.385432464927796,0.015481795483320347,0.0005782452936729326,0.301503018867577,0.9928148615515071
o1_28,-10,3000,10.000250733958602,-21.526889979090736,31.527140713049338,0.015482044683742426,0.00039939959354663555,0.30155522109317767,0.9964820614509279
overall,-10,14024,9.999912806880971,-16.47558101200093,26.4754938188819,0.015481522541844966,0.0006757988953253193,0.3015441356743866,0.9886939731181337
asu_campus_3p5,-5,3000,4.999275455576113,-17.55661992976229,22.555895385338403,0.008705342268514507,0.0006232335171903082,0.4901856691076523,0.9912046628455831
city_16_sanfrancisco_28,-5,3000,5.0006018414545315,-21.342198797763444,26.342800639217977,0.008706768341501235,0.00039052226162431696,0.4901232747912898,0.9963251192551235
city_4_phoenix_28,-5,2024,5.000456698187241,-16.9236220115044,21.924078709691642,0.008706474721020582,0.0006704370294002267,0.49008979426308225,0.9898487678729736
i1_2p4,-5,3000,5.000320660637686,-21.82657565478309,26.826896315420775,0.008706277334287823,0.0003877887230426268,0.49009778327396036,0.9968127605522605
o1_28,-5,3000,4.999968099282437,-25.369900463850385,30.369868563132822,0.008706016927300114,0.00025571098042340487,0.4902365516060152,0.9985489477376513
overall,-5,14024,5.000101461940085,-19.879234767406427,24.879336229346514,0.008706155123371128,0.00045127859343611166,0.4901505675120635,0.9948592376605486
asu_campus_3p5,0,3000,0.0009414780499809433,-20.5196202071701,20.52056168522008,0.004896228433176014,0.0004392618864995732,0.7070622464695845,0.9955733109965181
city_16_sanfrancisco_28,0,3000,0.00020343274054884832,-24.148009218365985,24.148212651106533,0.0048957499241551895,0.00027716648420970523,0.7070872017867957,0.9980752750050473
city_4_phoenix_28,0,2024,0.00015908659812439272,-19.60350583202168,19.603664918619803,0.004895743964503615,0.00048826101421131445,0.70714417369606,0.9945601107945379
i1_2p4,0,3000,-0.0003579875574849322,-24.628071004591515,24.62771301703403,0.004895532281128295,0.0002797148020671967,0.7071227619005548,0.9983710983893066
o1_28,0,3000,0.00010901708360686491,-28.563041799003773,28.56315081608738,0.004895795891557915,0.00017588708054910152,0.7070831937411552,0.9993066743768468
overall,0,14024,0.00021464008574267852,-22.727004419368264,22.727219059454008,0.004895814701526495,0.0003211873254948966,0.7070968347849257,0.9973418828281108
asu_campus_3p5,5,3000,-4.999776228678518,-22.830215009632422,17.830438780953905,0.0027531048163321596,0.0003324330734269758,0.8716197367515709,0.9974125071964043
city_16_sanfrancisco_28,5,3000,-5.000414208359846,-26.43971375975752,21.439299551397674,0.002753059141224034,0.00021034186835827633,0.8716480112213634,0.998865080596214
city_4_phoenix_28,5,2024,-4.999384816054828,-21.961101987305245,16.961717171250417,0.0027532910835104374,0.00037160789217674755,0.8716097822258653,0.9968645029542061
i1_2p4,5,3000,-5.000506539875479,-26.65045706621789,21.64995052634241,0.002752879923312895,0.00022149019085332064,0.8716500274248205,0.9990101914140794
o1_28,5,3000,-5.000946257227508,-31.0617274125952,26.060781155367692,0.0027528280762663597,0.00013088282784411254,0.8716740996303979,0.9996118614299032
overall,5,14024,-5.000262701008365,-25.01769979689967,20.017437095891303,0.0027530146195401794,0.0002451210963500993,0.8716424574814473,0.9984390589104754
asu_campus_3p5,10,3000,-10.000382807150556,-24.572792355456755,14.572409548306199,0.0015481232355197784,0.0002704502925206394,0.9534667686882596,0.9982703591726849
city_16_sanfrancisco_28,10,3000,-9.999766797569974,-28.359318548322463,18.359551750752487,0.0015482105308134513,0.00017002219246821176,0.9534628671712114,0.9992706387916849
city_4_phoenix_28,10,2024,-10.00000245240636,-24.21906561364083,14.21906316123447,0.0015481903126453136,0.00028848537124441536,0.9534632808319197,0.9981350435775851
i1_2p4,10,3000,-9.999895818062983,-28.3106319579044,18.310736139841417,0.0015481887658430479,0.00018413563861222382,0.9534627434600154,0.9993411215587238
o1_28,10,3000,-9.999855457573371,-32.803687742237834,22.803832284664463,0.0015482310451066545,0.00010654781001935103,0.9534589140406483,0.999741635015002
overall,10,14024,-9.99997914468638,-26.919433281896687,16.91945413721031,0.0015481886711810403,0.00019804351057187502,0.9534628891710445,0.9989944472324372
asu_campus_3p5,15,3000,-15.0001841934805,-26.2553414085586,11.2551572150781,0.0008705877695714423,0.00022456286914469766,0.9845549688655584,0.9988199114731297
city_16_sanfrancisco_28,15,3000,-15.00064470304309,-30.06507889896131,15.06443419591822,0.0008705485734015417,0.00014240473163943518,0.9845556143049279,0.9995075032812293
city_4_phoenix_28,15,2024,-14.999890460790235,-26.49398722163894,11.494096760848704,0.0008706039620972908,0.00022420241722777534,0.9845532712105052,0.9988866517236916
i1_2p4,15,3000,-15.00005639152221,-30.12292349505056,15.122867103528352,0.0008706078864806338,0.00015009287807424073,0.9845546812675952,0.9995661932053388
o1_28,15,3000,-14.999909079224874,-33.98620694962254,18.986297870397667,0.0008706136650943425,9.359420895328268e-05,0.9845538017119089,0.9998026581854524
overall,15,14024,-15.000154112291533,-28.74737654983262,13.747222437541087,0.0008705915646697659,0.0001629884309686242,0.9845545505680626,0.9993369299975254
asu_campus_3p5,20,3000,-20.000151896053598,-28.207572968019008,8.20742107196541,0.0004895676740454227,0.00018095676340954233,0.9950373429069908,0.9992459449343823
city_16_sanfrancisco_28,20,3000,-20.000695747474392,-31.609142026806293,11.6084462793319,0.0004895442551931877,0.00012093117465366248,0.9950380331181833,0.9996558432265193
city_4_phoenix_28,20,2024,-19.99985590395195,-28.614835586931314,8.614979682979364,0.0004895812955709533,0.00017554348597890958,0.9950369809714489,0.999314183352235
i1_2p4,20,3000,-20.000329068933674,-31.89521989773995,11.894890828806275,0.0004895552184679416,0.00012220422518463756,0.9950374788797683,0.9997170556289849
o1_28,20,3000,-19.999761796941428,-35.019525052320326,15.019763255378898,0.0004895847100902213,8.39885643063354e-05,0.9950369708521019,0.9998435287383388
overall,20,14024,-20.00017995529837,-30.579638113596953,10.579458158298582,0.000489565610070303,0.00013402326000312652,0.9950373877919138,0.9995639333591922
asu_campus_3p5,25,3000,-25.00073487143283,-30.091022047076258,5.090287175643429,0.0002752864283060777,0.00014418381150715893,0.9984228889439243,0.9995118307198471
city_16_sanfrancisco_28,25,3000,-24.99974114599898,-32.808479446469136,7.808738300470157,0.00027531048139094004,0.00010506656605528107,0.998422519082938,0.9997391352242304
city_4_phoenix_28,25,2024,-25.0000010769344,-30.070237725912328,5.070236648977929,0.00027531650337201145,0.00014675426159510915,0.998422602745383,0.9995093699740525
i1_2p4,25,3000,-25.00022098344875,-33.03217611080374,8.03195512735499,0.00027530506514302,0.00010672527417347664,0.9984226668647711,0.9997878675359536
o1_28,25,3000,-25.00002337750538,-36.03877560383859,11.038752226333209,0.0002753061278388699,7.506489371936223e-05,0.9984226131014765,0.9998757361368764
overall,25,14024,-25.00015424462186,-32.05360951389768,7.053455269275823,0.0002753041151498626,0.00011338792511653862,0.9984226619908418,0.9996898057665412
asu_campus_3p5,30,3000,-29.99980079225528,-31.183789676968207,1.183988884712928,0.00015482329271428185,0.00012490519912457804,0.9995003450790525,0.9996207058612647
city_16_sanfrancisco_28,30,3000,-30.000437133139673,-33.43409589461823,3.433658761478558,0.00015481057429104627,9.71389080911273e-05,0.9995004078019983,0.9997741893165829
city_4_phoenix_28,30,2024,-30.00003141859086,-30.752503785581613,0.7524723669907516,0.00015481858821336962,0.0001343028171683522,0.9995003711711167,0.9995807356861698
i1_2p4,30,3000,-29.999680557894912,-33.52149243308758,3.521811875192668,0.00015482657132398232,0.0001006026560815279,0.999500328642841,0.9998132604059988
o1_28,30,3000,-29.99991606601888,-36.67142251008072,6.671506444061837,0.00015481934078354217,6.986116825434926e-05,0.9995003453617433,0.9998925310844897
overall,30,14024,-29.999969133134485,-32.82014190753615,2.8201727744016623,0.00015481974899332702,0.00010334802457241104,0.9995003588042806,0.9997402276802014
